episode,epsilon,reward,steps,success,normal_moves,wall_collisions,penalty_visits,closed_door_attempts,door_passes,periodic_gate_closed,periodic_gate_passes,key_collected,goal_reached_count,step_limit_reached_count,terminated,truncated
184,0.33405888066688905,-99.92999999999996,160,1,147,8,0,0,1,0,2,1,1,0,1,0
185,0.33206336273373127,-85.26999999999994,132,1,112,11,1,0,2,1,3,1,1,0,1,0
186,0.33007976512974907,-530.7100000000004,398,1,351,38,4,0,2,0,1,1,1,0,1,0
187,0.3281080166482419,-26.49000000000005,100,1,89,6,1,0,2,0,0,1,1,0,1,0
188,0.3261480465078664,-144.06000000000012,180,1,163,12,2,0,1,0,0,1,1,0,1,0
189,0.32419978435009483,-607.9500000000003,423,0,388,29,2,0,0,2,1,1,0,1,0,1
190,0.3222631602366901,-685.8200000000016,423,0,382,25,11,0,0,1,3,1,0,1,0,1
191,0.32033810464719464,-614.6300000000018,423,0,392,17,7,0,0,1,5,1,0,1,0,1
192,0.3184245484764348,-565.5399999999996,423,0,403,15,2,0,0,2,0,1,0,1,0,1
193,0.3165224230320405,-565.4599999999999,422,1,365,42,3,0,2,4,4,1,1,0,1,0
194,0.3146316600319788,-156.7000000000001,206,1,192,10,0,0,1,0,1,1,1,0,1,0
195,0.31275219160210316,-140.57999999999993,156,1,131,20,0,0,1,0,2,1,1,0,1,0
196,0.3108839502737168,-174.27999999999997,184,1,163,10,5,0,2,0,2,1,1,0,1,0
197,0.30902686898115045,-626.8999999999987,423,0,386,27,6,0,0,0,3,1,0,1,0,1
198,0.3071808810593553,-257.6100000000001,253,1,231,15,3,0,1,0,1,1,1,0,1,0
199,0.30534592024150964,-641.8799999999997,423,0,381,26,6,0,0,2,7,1,0,1,0,1
200,0.3035219206566398,-123.65999999999995,173,1,157,11,0,0,1,0,2,1,1,0,1,0
201,0.301708816827256,-203.09999999999985,170,1,142,20,5,0,1,0,0,1,1,0,1,0
202,0.2999065436670015,6.540000000000006,72,1,61,8,0,0,1,0,0,1,1,0,1,0
203,0.2981150364783163,-136.02999999999992,166,1,148,14,1,0,1,0,0,1,1,0,1,0
204,0.29633423095011463,-32.08,98,1,86,5,2,0,2,1,0,1,1,0,1,0
205,0.2945640631554763,-27.019999999999982,100,1,88,8,0,0,2,0,0,1,1,0,1,0
206,0.2928044695493518,-89.40999999999998,154,1,143,8,0,0,1,0,0,1,1,0,1,0
207,0.2910553869662813,-75.14000000000009,126,1,112,6,3,0,2,0,1,1,1,0,1,0
208,0.28931675261812717,-727.6600000000012,423,0,361,50,6,0,1,0,4,1,0,1,0,1
209,0.2875885040918198,-87.46999999999993,134,1,117,11,1,0,1,1,1,1,1,0,1,0
210,0.2858705793471174,-303.6300000000002,267,1,234,25,3,0,1,0,2,1,1,0,1,0
211,0.2841629167143787,4.160000000000011,74,1,60,8,0,0,3,0,1,1,1,0,1,0
212,0.2824654548923492,-200.82999999999976,206,1,184,18,1,0,1,0,0,1,1,0,1,0
213,0.28077813294596066,-99.96000000000008,138,1,117,10,1,2,1,0,5,1,1,0,1,0
214,0.2791008903041435,-259.3699999999995,268,1,245,14,2,0,1,2,2,1,1,0,1,0
215,0.27743366675765263,-46.230000000000004,116,1,105,6,1,0,1,0,1,1,1,0,1,0
216,0.27577640245690604,-148.58000000000004,146,1,124,14,5,0,1,0,0,1,1,0,1,0
217,0.27412903790983617,-218.80999999999983,202,1,172,24,1,0,2,0,1,1,1,0,1,0
218,0.2724915139797544,-480.89000000000027,422,1,387,29,2,0,1,1,0,1,1,0,1,0
219,0.27086377188322824,-405.6300000000007,318,1,284,22,8,0,2,0,0,1,1,0,1,0
220,0.269245753187971,-68.65000000000002,128,1,116,8,1,0,1,0,0,1,1,0,1,0
221,0.2676373998107443,-619.2399999999986,423,0,383,23,6,0,2,1,7,1,0,1,0,1
222,0.266038654015273,-271.36999999999966,202,1,169,22,8,0,1,0,0,1,1,0,1,0
223,0.2644494584101724,-357.06999999999937,285,1,245,30,3,0,1,1,3,1,1,0,1,0
224,0.26286975594688855,-341.8799999999999,287,1,254,27,3,0,1,0,0,1,1,0,1,0
225,0.26129948991764956,-1.3500000000000227,78,1,67,8,0,0,1,0,0,1,1,0,1,0
226,0.25973860395343057,-0.020000000000024443,98,1,93,2,0,0,1,0,0,1,1,0,1,0
227,0.25818704202193005,-295.81999999999977,279,1,255,16,3,0,2,1,0,1,1,0,1,0
228,0.2566447484255581,12.239999999999995,77,1,69,5,0,0,1,0,0,1,1,0,1,0
229,0.2551116677994375,-632.279999999998,423,0,385,32,4,0,0,1,0,1,0,1,0,1
230,0.2535877451094157,-639.13,423,0,386,30,3,0,1,1,1,1,0,1,0,1
231,0.25207292565008965,-553.4199999999995,423,0,399,21,0,0,0,0,2,1,0,1,0,1
232,0.2505671550428419,-159.74999999999994,178,1,155,16,1,0,1,2,1,1,1,0,1,0
233,0.2490703792338883,-611.4900000000005,423,0,387,24,4,0,0,3,4,1,0,1,0,1
234,0.24758254449233794,-591.5299999999997,423,0,393,24,3,0,0,0,2,1,0,1,0,1
235,0.24610359740826404,-578.0199999999994,423,0,396,23,1,1,0,0,1,1,0,1,0,1
236,0.24463348489078682,-645.2700000000003,423,0,383,31,5,0,2,0,1,1,0,1,0,1
237,0.24317215416616758,-560.9600000000003,423,0,389,17,2,0,1,1,12,1,0,1,0,1
238,0.24171955277591425,-582.3399999999997,423,0,396,21,3,0,0,0,2,1,0,1,0,1
239,0.24027562857489837,-603.0899999999998,423,0,384,29,1,0,0,1,7,1,0,1,0,1
240,0.2388403297294829,-430.1499999999998,375,1,338,29,2,0,2,0,2,1,1,0,1,0
241,0.23741360471566192,-572.6399999999987,423,0,388,24,1,0,0,0,9,1,0,1,0,1
242,0.23599540231721067,-601.4900000000005,423,0,395,10,8,0,1,1,7,1,0,1,0,1
243,0.23458567162384716,-724.0500000000004,423,0,368,42,7,0,0,1,4,1,0,1,0,1
244,0.23318436202940465,-4.160000000000039,88,1,79,6,0,0,1,0,0,1,1,0,1,0
245,0.23179142323001486,-563.6899999999996,423,0,397,19,2,0,1,1,2,1,0,1,0,1
246,0.2304068052223024,-150.19999999999993,166,1,140,12,4,0,2,0,6,1,1,0,1,0
247,0.22903045830158944,-275.5599999999999,258,1,231,20,3,0,1,0,1,1,1,0,1,0
248,0.22766233306011174,-251.98999999999995,238,1,213,20,2,0,1,0,0,1,1,0,1,0
249,0.2263023803852448,-120.44000000000001,141,1,122,10,4,0,1,1,1,1,1,0,1,0
250,0.224950551457741,-132.05,142,1,119,12,4,0,1,2,2,1,1,0,1,0
251,0.22360679774997694,-63.750000000000014,102,1,86,10,3,0,1,0,0,1,1,0,1,0
252,0.2222710710242115,-56.199999999999974,112,1,98,7,2,0,1,1,1,1,1,0,1,0
253,0.22094332333085417,-170.1099999999999,204,1,189,9,2,0,1,1,0,1,1,0,1,0
254,0.21962350700674382,-17.450000000000017,70,1,56,8,3,0,1,0,0,1,1,0,1,0
255,0.21831157467343767,-138.32999999999998,174,1,157,10,2,0,1,0,2,1,1,0,1,0
256,0.2170074792355105,-315.8600000000003,300,1,275,15,3,0,1,1,3,1,1,0,1,0
257,0.21571117387886402,-14.33999999999999,88,1,78,4,2,0,1,0,1,1,1,0,1,0
258,0.21442261206904636,-73.61999999999996,120,1,102,14,0,0,1,0,1,1,1,0,1,0
259,0.21314174754958168,-104.09999999999998,118,1,93,22,0,0,1,0,0,1,1,0,1,0
260,0.21186853434030947,-74.13999999999997,142,1,130,8,0,0,1,0,1,1,1,0,1,0
261,0.21060292673573414,-68.43999999999998,138,1,127,5,1,0,2,1,0,1,1,0,1,0
262,0.20934487930338425,-71.26,118,1,101,12,1,0,1,0,1,1,1,0,1,0
263,0.20809434688218148,-567.949999999999,423,0,397,24,1,0,0,0,0,1,0,1,0,1
264,0.20685128458081964,-644.8999999999995,423,0,379,40,2,0,1,0,0,1,0,1,0,1
